序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
311,2632, 道明光学,9.57,0.63,0.103,2.309,19.41,-0.029,1.531,0.047,6.468,1,2.0,4,6.29,3.58,2.71,20.66,21.33,-0.67
312,2242, 九阳股份,10,-0.99,0.01,0.368,19.36,-0.162,-0.141,-0.386,-0.791,2,2.0,3,4.3,6.74,-2.43,18.93,14.96,3.97
314,603048, 浙江黎明,16.82,1.63,0.339,0.662,19.35,0.003,1.662,-0.041,1.273,2,3.0,5,4.75,0.41,4.35,22.7,14.47,8.23
316,601339, 百隆东方,5.23,-0.76,0.031,0.043,19.28,0.031,0.205,0.326,0.625,1,2.0,7,10.51,0.0,10.51,9.71,4.45,5.26
318,600757, 长江传媒,8.51,-0.35,0.0,0.375,19.2,0.354,1.46,0.276,1.445,0,3.0,5,6.12,2.76,3.36,29.94,33.27,-3.33
319,300992, 泰福泵业,25.36,0.32,0.394,1.203,19.19,-0.557,-0.19,-0.405,-0.154,1,1.0,4,6.38,10.89,-4.51,32.78,21.32,11.46
321,550, 江铃汽车,23,1.23,0.127,0.275,19.17,-0.219,0.435,0.286,2.249,1,2.0,6,7.57,6.47,1.09,29.15,20.88,8.27
322,603917, 合力科技,13.94,0.22,0.502,1.654,19.16,-0.317,-11.812,1.57,-9.15,1,2.0,4,7.06,6.07,0.99,26.2,19.26,6.94
324,301161, 唯万密封,22.62,2.17,1.194,3.876,19.14,2.634,18.464,1.075,18.341,3,4.0,5,10.3,1.97,8.33,19.87,19.58,0.29
325,300690, 双一科技,24.8,2.1,0.706,2.947,19.1,1.928,5.783,0.862,5.134,2,2.0,3,4.82,5.19,-0.37,28.97,22.0,6.97
328,2813, 路畅科技,24.61,2.63,0.138,1.688,19.05,0.007,0.876,-0.373,0.171,4,4.0,5,3.09,8.12,-5.03,22.8,14.24,8.55
329,688006, 杭可科技,19.95,0.3,0.096,0.16,19.04,0.126,1.195,0.439,1.304,1,3.0,6,13.54,3.07,10.46,23.05,22.77,0.29
330,688307, 中润光学,32.02,-0.68,0.582,1.27,19.03,5.664,6.189,4.771,6.243,6,5.0,6,8.31,14.18,-5.87,36.78,23.62,13.16
331,1391, 国货航,6.95,0.58,0.383,1.555,18.93,-1.191,-1.539,-5.069,-5.031,1,1.0,1,16.34,8.95,7.38,26.57,29.09,-2.52
332,600331, 宏达股份,7.01,-0.43,0.027,0.161,18.88,-0.668,-0.682,-1.444,-1.395,1,1.0,1,11.02,13.22,-2.2,34.35,28.96,5.39
335,2180, 纳思达,27.74,1.13,0.096,0.286,18.79,0.31,0.207,0.105,-0.183,5,5.0,6,14.23,8.53,5.7,25.83,24.78,1.05
338,1218, 丽臣实业,16.31,-0.97,0.07,0.387,18.74,0.035,-0.496,0.058,1.088,2,3.0,6,0.0,1.3,-1.3,18.81,8.46,10.35
339,2348, 高乐股份,3.87,0.0,0.425,1.594,18.72,3.297,4.977,1.602,1.076,2,4.0,5,10.86,4.93,5.92,20.28,18.67,1.61
340,605007, 五洲特纸,12.12,-0.25,0.026,0.043,18.71,-0.063,0.106,-0.124,0.214,1,1.0,4,3.84,0.0,3.84,18.87,8.7,10.17
342,300986, 志特新材,16.79,0.78,0.333,0.705,18.65,1.351,-1.776,1.329,-2.647,6,5.0,8,0.5,1.99,-1.49,26.91,13.85,13.06
344,300797, 钢研纳克,12.57,1.62,0.071,0.801,18.55,-0.063,0.265,-0.181,0.221,2,2.0,4,1.95,0.0,1.95,18.28,15.31,2.97
345,688279, 峰岹科技,276.05,-1.76,0.301,0.386,18.54,1.955,2.189,1.247,1.329,6,5.0,6,19.52,7.98,11.54,25.2,26.82,-1.62
346,300463, 迈克生物,13,-0.76,0.063,0.245,18.53,-0.098,0.727,-0.178,1.798,1,2.0,3,0.0,0.0,0.0,29.11,21.52,7.59
347,301591, 肯特股份,42.05,1.69,0.599,6.26,18.36,2.222,-5.504,1.032,-0.079,2,4.0,6,3.69,7.94,-4.26,27.95,20.44,7.51
348,688680, 海优新材,33.34,2.4,0.289,0.492,18.36,0.302,0.489,0.286,1.231,2,3.0,5,8.47,4.97,3.51,29.16,22.6,6.56
350,519, 中兵红箭,15.6,0.0,0.153,0.283,18.32,0.414,-0.119,0.111,-0.321,1,3.0,4,5.24,3.11,2.14,33.14,25.98,7.16
352,600749, 西藏旅游,11.32,0.35,0.228,0.547,18.26,-0.121,0.355,0.963,2.419,2,2.0,4,5.47,3.2,2.27,26.98,19.94,7.04
353,300971, 博亚精工,22.11,1.98,0.32,1.655,18.24,0.239,2.719,-0.162,1.713,1,2.0,5,2.97,1.51,1.46,23.9,18.68,5.23
354,600073, 光明肉业,6.32,-0.47,0.073,0.238,18.17,-0.179,1.136,-0.43,1.575,1,3.0,3,4.16,1.53,2.63,22.12,15.74,6.38
355,600735, 新华锦,5.02,1.41,0.375,0.517,18.16,1.992,7.27,2.446,7.432,2,4.0,7,9.38,1.25,8.13,28.96,26.34,2.63
357,78, 海王生物,2.39,-0.83,-0.006,0.222,18.13,-0.064,0.25,-0.148,-0.225,0,2.0,4,16.65,10.43,6.22,13.83,21.05,-7.22
358,2302, 西部建设,6.38,-0.93,0.085,0.27,18.08,0.08,-0.437,-0.303,-1.117,3,3.0,4,8.7,7.71,1.0,28.65,22.96,5.69
360,688270, 臻镭科技,38.34,1.91,0.351,0.459,18.07,0.411,0.887,-0.333,0.484,2,3.0,4,9.86,4.53,5.33,29.68,24.31,5.38
361,2337, 赛象科技,5.59,0.9,0.346,0.237,18.06,0.196,1.243,-0.756,-1.288,1,3.0,4,7.23,1.39,5.85,24.69,15.77,8.93
363,2254, 泰和新材,10.26,1.99,0.402,0.192,18.0,-0.209,0.151,0.15,3.144,1,1.0,3,7.82,5.22,2.6,37.15,25.87,11.28
364,688639, 华恒生物,31.88,1.43,0.136,0.349,18.0,0.811,1.515,1.718,2.919,5,5.0,8,13.24,8.39,4.85,28.32,26.31,2.02
365,300359, 全通教育,6.78,1.04,0.074,2.01,17.98,-0.222,-1.463,1.828,-1.474,1,3.0,5,2.57,4.35,-1.77,27.81,24.71,3.1
366,688479, 友车科技,19.7,1.13,0.306,0.39,17.94,-0.081,0.391,-0.383,0.778,1,2.0,4,7.2,1.46,5.74,19.75,11.94,7.82
369,600010, 包钢股份,1.85,0.0,0.096,0.05,17.9,0.499,0.829,0.232,0.323,5,5.0,6,41.79,37.41,4.38,23.95,18.71,5.24
370,600429, 三元股份,4.19,-0.71,0.042,0.107,17.88,-0.048,-0.095,0.055,-0.021,1,2.0,5,6.62,0.47,6.14,17.08,12.11,4.97
371,600873, 梅花生物,9.17,-0.54,0.03,0.168,17.86,-0.318,0.186,-0.336,1.472,1,1.0,4,4.61,4.44,0.18,22.82,17.01,5.82
373,301093, 华兰股份,23.49,-0.13,-0.006,0.65,17.85,-0.264,0.697,-0.763,1.092,0,1.0,2,4.28,8.45,-4.16,22.28,18.48,3.81
374,600769, 祥龙电业,10,0.6,0.134,0.546,17.83,0.341,1.121,-0.213,0.422,1,2.0,3,2.94,1.48,1.45,26.21,20.44,5.77
375,25, 特0力Ａ,16.32,-0.73,0.08,0.163,17.7,-0.092,-0.141,-0.554,-1.855,1,2.0,3,7.79,2.54,5.25,17.42,11.22,6.2
377,2667, 威领股份,10.35,1.67,0.328,1.865,17.69,-0.417,1.026,-0.508,-2.092,1,2.0,4,3.86,3.41,0.46,21.58,15.67,5.91
378,600188, 兖矿能源,13.45,1.2,0.084,0.146,17.68,0.017,0.056,-0.221,-0.411,2,2.0,2,16.74,7.73,9.01,23.98,24.3,-0.33
379,300390, 天华新能,23.62,2.74,0.181,0.845,17.64,-0.394,-0.678,-0.002,1.677,1,1.0,3,13.84,11.26,2.57,28.44,26.83,1.61
380,300604, 长川科技,48.19,2.84,0.494,1.061,17.63,-0.095,0.363,-0.87,0.014,1,2.0,4,11.82,9.52,2.31,34.59,30.28,4.31
381,688589, 力合微,29.16,1.6,0.364,0.359,17.6,0.758,1.011,0.658,1.503,4,4.0,6,11.47,4.67,6.8,26.92,21.83,5.09
382,603077, 和邦生物,1.9,-0.52,0.05,0.099,17.6,-0.021,0.225,-0.183,0.151,2,2.0,3,19.03,7.43,11.6,25.39,29.82,-4.43
383,301419, 阿莱德,35.2,2.0,1.603,2.46,17.58,2.939,1.444,1.01,-1.923,3,4.0,4,7.08,1.3,5.77,26.15,20.84,5.31
384,2498, 汉缆股份,3.58,-0.28,0.089,1.072,17.56,0.997,2.436,0.765,2.044,3,4.0,6,6.24,6.88,-0.64,23.12,19.58,3.54
385,300698, 万马科技,43.98,-0.45,0.154,0.803,17.55,1.068,1.621,-0.784,-3.33,3,3.0,3,7.74,7.72,0.02,33.58,29.71,3.87
386,850, 华茂股份,4.35,0.0,0.106,0.336,17.54,-0.38,-0.26,0.382,2.643,1,1.0,4,10.32,0.0,10.32,27.57,31.47,-3.9
