序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
3922,600037, 歌华有线,7.69,-1.91,-0.077,-0.234,-17.27,-0.005,0.616,-0.689,-0.614,0,2,3,6.8,11.34,-4.54,19.76,22.47,-2.71
3923,601099, 太平洋,4.06,-1.22,-0.175,-0.15,-17.3,-0.432,-1.754,-1.505,-2.809,0,1,2,12.76,19.55,-6.79,23.99,27.68,-3.69
3924,000612, 焦作万方,7.36,-2.39,-0.014,-0.459,-17.32,-0.301,-3.641,-1.893,-7.634,0,1,2,4.24,14.99,-10.76,33.76,23.73,10.03
3925,002009, 天奇股份,17.22,-0.69,-0.564,-1.508,-17.32,-1.471,-2.536,-1.915,-1.253,0,2,4,8.92,11.77,-2.85,22.5,26.43,-3.93
3926,600983, 惠而浦,9.48,0.11,-0.025,-0.118,-17.32,-0.076,-0.325,-0.249,-1.345,0,1,2,0.04,2.17,-2.13,11.19,17.72,-6.52
3927,300411, 金盾股份,14.94,-0.86,-0.951,-2.326,-17.35,-0.509,-3.884,-1.008,1.18,0,2,4,3.21,6.28,-3.08,19.58,25.23,-5.65
3928,300996, 普联软件,26.27,-1.31,-0.265,-1.659,-17.36,-2.687,-6.876,-3.61,-12.658,0,1,3,7.54,6.22,1.31,21.42,26.87,-5.45
3929,301509, 金凯生科,25.86,-1.03,-0.346,-0.18,-17.36,-1.306,-3.039,-1.672,-3.025,0,0,1,0,6.7,-6.7,8.19,17.22,-9.03
3930,002364, 中恒电气,18.31,-5.47,-0.925,-2.677,-17.36,-0.719,-4.44,-6.645,-15.515,0,2,3,6.71,11.36,-4.65,21.4,23.8,-2.4
3931,600665, 天地源,2.93,-1.01,-0.146,-0.238,-17.37,-0.118,-0.362,-0.029,-0.599,0,3,5,1.19,13.64,-12.45,22.46,20.24,2.22
3932,301328, 维峰电子,47.73,-0.69,-0.522,-1.995,-17.37,-0.489,-3.556,-2.527,-6.033,0,2,3,1.07,2.95,-1.88,21.1,26.32,-5.21
3933,300071, 福石控股,6.6,-2.8,-0.682,-1.41,-17.38,-1.788,-6.148,-7.132,-30.205,0,1,2,2.62,5.18,-2.56,17.48,24.9,-7.42
3934,688297, 中无人机,41.43,1.99,-0.143,-0.496,-17.42,-0.123,-0.695,-1.017,-1.871,0,2,3,7.88,10.77,-2.89,23.5,26.51,-3.01
3935,600522, 中天科技,14.29,-1.04,-0.182,-0.287,-17.45,0.448,0.477,-0.293,0.273,0,3,5,10.71,19.02,-8.31,29.77,28.98,0.79
3936,300528, 幸福蓝海,8.72,-2.57,-0.242,-0.47,-17.46,-0.599,-0.258,-0.705,2.026,0,1,3,3.53,4.53,-1,18.72,27.6,-8.88
3937,000158, 常山北明,28.86,5.06,-1.496,-3.011,-17.49,-0.057,-2.818,-3.178,-15.629,0,2,3,14.51,20.48,-5.97,22.53,23.64,-1.1
3938,601038, 一拖股份,14.76,-2.77,-0.175,-0.55,-17.51,-0.786,-0.987,-0.644,-0.238,0,1,3,6.11,4.44,1.67,20.12,28.9,-8.78
3939,688355, 明志科技,19.62,0.67,-0.136,-0.309,-17.52,-0.465,-0.819,-0.769,-0.588,0,1,3,0.33,8.29,-7.96,20.47,22.05,-1.58
3940,300386, 飞天诚信,16.31,-0.31,-0.308,-1.786,-17.53,-1.082,-2.999,-3.382,-2.458,0,1,3,1.08,2.87,-1.79,18.42,22.75,-4.33
3941,688168, 安博通,61.65,2.24,-0.143,-0.684,-17.54,-0.676,0.048,-4.523,-4.049,0,2,3,6.17,7.74,-1.58,36.3,38.19,-1.88
3942,002593, 日上集团,5.82,-2.18,-1.001,-1.993,-17.54,-2.567,-7.127,-5.632,-20.809,0,1,1,3.4,6.26,-2.86,14.06,21.88,-7.82
3943,301321, 翰博高新,16.18,0.25,-0.104,-0.396,-17.54,-0.343,-2.085,-0.134,-0.418,0,1,3,1.26,6.25,-4.99,15.28,18.67,-3.39
3944,603610, 麒盛科技,12,-0.17,-0.046,-0.423,-17.58,-0.632,-2.304,-1.736,-3.222,0,1,3,16.9,13.08,3.82,12.13,19.13,-7.01
3945,300499, 高澜股份,20.52,-3.8,-0.697,-2.293,-17.63,0.746,5.468,-3.155,-1.715,0,3,4,7.78,8.25,-0.47,27.19,32.36,-5.18
3946,688048, 长光华芯,61.42,-1.51,-0.349,-0.905,-17.65,-1.119,-0.954,-2.421,-0.433,0,2,3,10.37,17.73,-7.35,24.33,23.54,0.79
3947,000680, 山推股份,9.6,0.84,-0.221,-0.831,-17.65,0.145,0.338,0.215,-0.449,0,2,5,3.35,10.29,-6.94,25.68,24.87,0.81
3948,688786, 悦安新材,26.64,-1,-0.133,-0.121,-17.66,-0.304,-1.117,-0.522,-0.331,0,1,3,4.96,9.38,-4.42,27.21,34,-6.79
3949,301397, 溯联股份,42.41,0.31,-0.289,-2.494,-17.66,0.346,-1.085,1.235,4.448,0,2,6,6.94,8.4,-1.46,26.09,27.63,-1.54
3950,002695, 煌上煌,9.17,-0.43,-0.088,-0.322,-17.67,-0.098,-1.06,-0.663,-4.324,0,2,4,0,0.62,-0.62,17.31,25.1,-7.79
3951,002055, 得润电子,6.58,0.46,-0.291,-2.049,-17.67,-0.485,0.672,-3.2,-9.098,0,2,3,2.98,4.36,-1.38,21.19,24.53,-3.33
3952,603016, 新宏泰,35.42,0.48,-0.07,-0.194,-17.7,-0.28,-0.649,-0.706,-0.364,0,2,3,0,2.5,-2.5,15.71,23.09,-7.38
3953,301151, 冠龙节能,15.8,-0.94,-0.188,-0.782,-17.7,1.695,0.727,1.501,1.345,0,3,6,0,0,0,15.2,23.57,-8.37
3954,000875, 吉电股份,5.14,-1.15,-0.132,-0.003,-17.7,-0.474,-0.97,-0.558,-1.744,0,0,3,5.25,16.12,-10.87,20.68,27.28,-6.6
3955,002560, 通达股份,6.54,-0.91,-0.184,-0.53,-17.71,-0.406,-1.118,-1.708,-6.287,0,2,3,0,0,0,12.95,23.37,-10.43
3956,301071, 力量钻石,34.86,-0.83,-0.213,-0.692,-17.72,-1.152,-3.306,-3.219,-4.901,0,0,2,7.11,2.79,4.32,21.96,32.96,-11
3957,600099, 林海股份,9.35,-0.95,-0.131,-0.471,-17.72,-0.505,-0.466,-0.825,0.448,0,1,2,0,0.27,-0.27,7.75,18.32,-10.57
3958,688517, 金冠电气,13.95,-0.57,-0.134,-0.03,-17.73,-0.697,-0.828,-0.912,-1.04,0,0,1,0,0.17,-0.17,10.55,27.14,-16.58
3959,002657, 中科金财,20.84,-1.33,-0.271,-1.554,-17.75,-1.183,-3.435,-5.615,-16.141,0,1,2,6.19,5.3,0.89,20.3,26.15,-5.84
3960,300122, 智飞生物,26,-0.65,-0.077,-0.141,-17.79,-0.374,-0.25,-0.275,0.481,0,2,4,3.22,7.96,-4.74,25.85,30.08,-4.24
3961,002773, 康弘药业,19.44,-0.56,-0.099,-0.032,-17.8,-0.226,0.036,-0.406,-0.076,0,2,3,0,6.46,-6.46,10.12,20.2,-10.08
3962,000793, 华闻集团,2.89,-2.69,-0.346,-0.568,-17.81,1.927,1.157,1.599,-1.414,0,3,4,3.27,7.47,-4.2,19.17,25.63,-6.46
3963,603768, 常青股份,13.23,0.3,-0.129,-0.657,-17.81,-1.957,-3.593,-0.379,1.258,0,0,4,0.12,5.4,-5.28,14,16.5,-2.5
3964,688426, 康为世纪,24.18,0.21,-0.259,-0.156,-17.82,-0.97,0.476,-2.599,-0.152,0,1,1,0,1.19,-1.19,8.97,23.51,-14.54
3965,603324, 盛剑科技,27.53,-0.86,-0.126,-0.34,-17.83,-0.055,0.998,-0.269,0.703,0,2,4,0.08,3.78,-3.7,16.95,22.96,-6
3966,001380, 华纬科技,29.65,-0.6,-0.559,-2.337,-17.84,2.371,-3.458,1.359,-4.574,0,3,4,5,5.61,-0.61,17.08,23.31,-6.23
3967,688366, 昊海生科,58.65,-0.2,-0.036,-0.015,-17.84,-0.052,-0.066,-0.113,-0.09,0,1,2,1.1,4.61,-3.51,10.62,23.24,-12.62
3968,601857, 中国石油,7.85,-0.63,-0.009,-0.007,-17.84,-0.068,-0.058,-0.133,-0.131,0,0,1,14.9,17.4,-2.5,26.5,34.69,-8.18
3969,600808, 马钢股份,3.28,3.14,0.106,-0.411,-17.85,-0.297,-1.075,-0.974,-2.9,1,1,1,20.16,12.87,7.29,28.01,27.45,0.56
3970,002471, 中超控股,2.62,-1.87,-0.146,-0.302,-17.85,-0.214,-1.604,-0.361,-0.523,0,1,4,5.4,13.42,-8.03,15.67,17.67,-2
